interval_begin,interval_end,interval_flow,interval_harmonicMeanSpeed,interval_id,interval_length,interval_nVehContrib,interval_nVehEntered,interval_occupancy,interval_speed
0.00,60.00,0.00,-1.00,d_rp4_exit_1,-1.00,0,0,0.00,-1.00
0.00,60.00,60.00,11.52,d_rp4_exit_2,5.00,1,1,0.72,11.52
0.00,60.00,0.00,-1.00,d_rp4_exit_3,-1.00,0,0,0.00,-1.00
0.00,60.00,0.00,-1.00,d_rp4_exit_4,-1.00,0,0,0.00,-1.00
0.00,60.00,60.00,9.90,d_rp4_exit_5,5.00,1,1,0.84,9.90
0.00,60.00,0.00,-1.00,d_rp4_exit_6,-1.00,0,0,0.00,-1.00
0.00,60.00,0.00,-1.00,d_rp4_exit_7,-1.00,0,0,0.00,-1.00
60.00,120.00,0.00,-1.00,d_rp4_exit_1,-1.00,0,0,0.00,-1.00
60.00,120.00,0.00,-1.00,d_rp4_exit_2,-1.00,0,0,0.00,-1.00
60.00,120.00,120.00,13.73,d_rp4_exit_3,5.00,2,2,1.21,13.77
60.00,120.00,0.00,-1.00,d_rp4_exit_4,-1.00,0,0,0.00,-1.00
60.00,120.00,300.00,10.20,d_rp4_exit_5,5.00,5,5,4.09,10.30
60.00,120.00,0.00,-1.00,d_rp4_exit_6,-1.00,0,0,0.00,-1.00
60.00,120.00,60.00,10.83,d_rp4_exit_7,5.00,1,1,0.77,10.83
120.00,180.00,60.00,8.27,d_rp4_exit_1,5.00,1,1,1.01,8.27
120.00,180.00,0.00,-1.00,d_rp4_exit_2,-1.00,0,0,0.00,-1.00
120.00,180.00,540.00,12.88,d_rp4_exit_3,5.00,9,11,6.59,13.04
120.00,180.00,120.00,4.06,d_rp4_exit_4,5.00,2,2,4.11,4.08
120.00,180.00,600.00,9.14,d_rp4_exit_5,5.00,10,10,9.11,9.65
120.00,180.00,0.00,-1.00,d_rp4_exit_6,-1.00,0,0,0.00,-1.00
120.00,180.00,480.00,4.17,d_rp4_exit_7,5.00,8,8,15.98,6.80
180.00,240.00,120.00,9.10,d_rp4_exit_1,5.00,2,2,1.83,9.11
180.00,240.00,180.00,8.91,d_rp4_exit_2,5.00,3,3,2.81,9.01
180.00,240.00,600.00,4.91,d_rp4_exit_3,5.00,10,11,18.01,10.16
180.00,240.00,0.00,-1.00,d_rp4_exit_4,-1.00,0,0,0.00,-1.00
180.00,240.00,600.00,9.69,d_rp4_exit_5,5.00,10,10,8.60,10.09
180.00,240.00,0.00,-1.00,d_rp4_exit_6,-1.00,0,0,0.00,-1.00
180.00,240.00,840.00,2.50,d_rp4_exit_7,5.00,14,15,47.65,5.46
240.00,300.00,480.00,7.37,d_rp4_exit_1,5.26,8,8,9.43,8.26
240.00,300.00,0.00,-1.00,d_rp4_exit_2,-1.00,0,0,0.00,-1.00
240.00,300.00,960.00,6.77,d_rp4_exit_3,5.00,16,16,19.69,10.36
240.00,300.00,60.00,5.06,d_rp4_exit_4,5.00,1,1,1.65,5.06
240.00,300.00,540.00,9.58,d_rp4_exit_5,5.00,9,9,7.83,9.72
240.00,300.00,60.00,7.63,d_rp4_exit_6,5.00,1,1,1.09,7.63
240.00,300.00,720.00,8.96,d_rp4_exit_7,5.00,12,12,11.66,9.04
300.00,360.00,420.00,8.52,d_rp4_exit_1,5.00,7,7,6.85,8.72
300.00,360.00,120.00,8.42,d_rp4_exit_2,5.00,2,2,1.98,8.43
300.00,360.00,540.00,4.87,d_rp4_exit_3,5.00,9,12,16.61,8.55
300.00,360.00,180.00,6.68,d_rp4_exit_4,5.00,3,3,3.74,7.61
300.00,360.00,480.00,7.17,d_rp4_exit_5,5.26,8,8,10.04,7.68
300.00,360.00,0.00,-1.00,d_rp4_exit_6,-1.00,0,0,0.00,-1.00
300.00,360.00,1020.00,3.21,d_rp4_exit_7,5.00,17,16,42.71,5.89
360.00,420.00,240.00,9.62,d_rp4_exit_1,5.00,4,4,3.47,9.68
360.00,420.00,0.00,-1.00,d_rp4_exit_2,-1.00,0,0,0.00,-1.00
360.00,420.00,360.00,9.78,d_rp4_exit_3,5.35,6,8,6.02,10.32
360.00,420.00,120.00,3.94,d_rp4_exit_4,5.00,2,2,4.23,3.95
360.00,420.00,780.00,7.42,d_rp4_exit_5,5.00,13,13,14.59,8.87
360.00,420.00,120.00,8.31,d_rp4_exit_6,5.00,2,2,2.01,8.71
360.00,420.00,1080.00,6.57,d_rp4_exit_7,5.00,18,18,22.82,8.07
420.00,480.00,420.00,8.31,d_rp4_exit_1,5.00,7,7,7.02,8.41
420.00,480.00,180.00,8.23,d_rp4_exit_2,5.00,3,3,3.04,8.26
420.00,480.00,660.00,9.36,d_rp4_exit_3,5.00,11,12,11.08,12.08
420.00,480.00,120.00,4.67,d_rp4_exit_4,5.00,2,2,3.57,6.17
420.00,480.00,660.00,9.23,d_rp4_exit_5,5.19,11,12,10.80,9.36
420.00,480.00,0.00,-1.00,d_rp4_exit_6,-1.00,0,0,0.00,-1.00
420.00,480.00,900.00,5.18,d_rp4_exit_7,5.00,15,15,24.15,7.17
480.00,540.00,360.00,8.66,d_rp4_exit_1,5.00,6,6,5.77,8.84
480.00,540.00,360.00,7.24,d_rp4_exit_2,5.00,6,6,6.90,7.69
480.00,540.00,540.00,4.80,d_rp4_exit_3,5.00,9,13,20.12,7.26
480.00,540.00,300.00,2.25,d_rp4_exit_4,5.00,5,5,18.49,3.76
480.00,540.00,720.00,9.19,d_rp4_exit_5,5.00,12,12,11.10,9.52
480.00,540.00,120.00,9.64,d_rp4_exit_6,5.00,2,2,1.73,9.75
480.00,540.00,960.00,5.52,d_rp4_exit_7,5.00,16,16,24.16,7.91
540.00,600.00,300.00,8.70,d_rp4_exit_1,5.42,5,5,5.29,8.84
540.00,600.00,120.00,9.06,d_rp4_exit_2,5.00,2,2,1.84,9.06
540.00,600.00,660.00,8.08,d_rp4_exit_3,5.19,11,10,10.58,9.86
540.00,600.00,60.00,10.43,d_rp4_exit_4,5.00,1,1,0.80,10.43
540.00,600.00,840.00,8.11,d_rp4_exit_5,5.00,14,13,13.65,8.32
540.00,600.00,120.00,6.45,d_rp4_exit_6,6.05,2,2,3.23,6.71
540.00,600.00,780.00,2.84,d_rp4_exit_7,5.00,13,14,50.36,6.04
600.00,660.00,240.00,8.05,d_rp4_exit_1,5.00,4,4,4.14,8.21
