interval_begin,interval_end,interval_id,edge_arrived,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_sampledSeconds
0.00,60.00,e_ccb_to_rp4,0,0,0,102165688#0,0,0,0,0.00
0.00,60.00,e_ccb_to_rp4,0,0,0,102165688#1,0,0,0,0.00
0.00,60.00,e_ccb_to_rp4,0,0,0,1136268465,0,0,0,0.00
0.00,60.00,e_ccb_to_rp4,0,0,0,190876198,0,0,0,0.00
0.00,60.00,e_ccb_to_rp4,0,0,0,28000507#1,0,0,0,0.00
60.00,120.00,e_ccb_to_rp4,0,0,3,102165688#0,0,0,2,46.19
60.00,120.00,e_ccb_to_rp4,0,0,2,102165688#1,0,0,1,2.39
60.00,120.00,e_ccb_to_rp4,0,0,4,1136268465,1,1,2,13.28
60.00,120.00,e_ccb_to_rp4,0,0,2,190876198,0,0,2,3.55
60.00,120.00,e_ccb_to_rp4,0,0,2,28000507#1,0,0,2,2.29
120.00,180.00,e_ccb_to_rp4,0,0,8,102165688#0,0,0,7,132.43
120.00,180.00,e_ccb_to_rp4,0,0,6,102165688#1,0,0,7,16.09
120.00,180.00,e_ccb_to_rp4,0,0,9,1136268465,6,6,11,41.12
120.00,180.00,e_ccb_to_rp4,0,0,11,190876198,0,0,11,19.30
120.00,180.00,e_ccb_to_rp4,0,0,11,28000507#1,0,0,9,17.86
180.00,240.00,e_ccb_to_rp4,0,0,14,102165688#0,0,0,14,246.54
180.00,240.00,e_ccb_to_rp4,0,0,9,102165688#1,0,0,8,23.59
180.00,240.00,e_ccb_to_rp4,0,0,11,1136268465,6,6,8,38.51
180.00,240.00,e_ccb_to_rp4,0,0,7,190876198,0,0,6,10.85
180.00,240.00,e_ccb_to_rp4,0,0,5,28000507#1,0,0,7,37.04
240.00,300.00,e_ccb_to_rp4,0,0,13,102165688#0,0,0,10,217.09
240.00,300.00,e_ccb_to_rp4,0,0,8,102165688#1,0,0,9,22.17
240.00,300.00,e_ccb_to_rp4,0,0,12,1136268465,8,8,15,59.85
240.00,300.00,e_ccb_to_rp4,0,0,16,190876198,1,1,16,36.86
240.00,300.00,e_ccb_to_rp4,0,0,14,28000507#1,0,0,13,58.09
300.00,360.00,e_ccb_to_rp4,0,0,13,102165688#0,0,0,14,263.04
300.00,360.00,e_ccb_to_rp4,0,0,14,102165688#1,0,0,14,37.45
300.00,360.00,e_ccb_to_rp4,0,0,18,1136268465,11,11,18,80.49
300.00,360.00,e_ccb_to_rp4,0,0,16,190876198,0,0,11,164.47
300.00,360.00,e_ccb_to_rp4,0,0,10,28000507#1,0,0,9,113.12
360.00,420.00,e_ccb_to_rp4,0,0,15,102165688#0,0,0,14,298.32
360.00,420.00,e_ccb_to_rp4,0,0,10,102165688#1,0,0,9,25.30
360.00,420.00,e_ccb_to_rp4,0,0,11,1136268465,5,5,8,211.80
360.00,420.00,e_ccb_to_rp4,0,0,7,190876198,0,0,10,280.96
360.00,420.00,e_ccb_to_rp4,0,0,10,28000507#1,0,0,12,112.06
420.00,480.00,e_ccb_to_rp4,0,0,14,102165688#0,0,0,12,234.24
420.00,480.00,e_ccb_to_rp4,0,0,10,102165688#1,0,0,11,26.83
420.00,480.00,e_ccb_to_rp4,0,0,12,1136268465,7,7,12,114.01
420.00,480.00,e_ccb_to_rp4,0,0,13,190876198,1,1,13,224.55
420.00,480.00,e_ccb_to_rp4,0,0,13,28000507#1,0,0,12,114.14
480.00,540.00,e_ccb_to_rp4,0,1,9,102165688#0,0,0,14,217.26
480.00,540.00,e_ccb_to_rp4,0,0,12,102165688#1,0,0,12,30.12
480.00,540.00,e_ccb_to_rp4,0,0,16,1136268465,9,9,15,116.70
480.00,540.00,e_ccb_to_rp4,0,0,13,190876198,1,1,12,275.47
480.00,540.00,e_ccb_to_rp4,0,0,14,28000507#1,0,0,13,101.96
540.00,600.00,e_ccb_to_rp4,0,0,21,102165688#0,0,0,19,466.24
540.00,600.00,e_ccb_to_rp4,0,0,11,102165688#1,0,0,9,42.70
540.00,600.00,e_ccb_to_rp4,0,0,12,1136268465,6,6,7,381.43
540.00,600.00,e_ccb_to_rp4,0,0,8,190876198,0,0,9,314.27
540.00,600.00,e_ccb_to_rp4,0,0,9,28000507#1,0,0,9,112.31
600.00,660.00,e_ccb_to_rp4,0,0,11,102165688#0,0,0,12,283.96
600.00,660.00,e_ccb_to_rp4,0,0,11,102165688#1,0,0,11,142.75
600.00,660.00,e_ccb_to_rp4,0,0,14,1136268465,5,5,15,521.71
600.00,660.00,e_ccb_to_rp4,0,0,14,190876198,0,0,13,288.31
600.00,660.00,e_ccb_to_rp4,0,0,13,28000507#1,0,0,14,112.42
660.00,720.00,e_ccb_to_rp4,0,0,16,102165688#0,0,0,11,318.95
660.00,720.00,e_ccb_to_rp4,0,0,10,102165688#1,0,0,10,123.14
660.00,720.00,e_ccb_to_rp4,0,0,13,1136268465,4,4,11,584.15
660.00,720.00,e_ccb_to_rp4,0,0,12,190876198,1,1,10,294.52
660.00,720.00,e_ccb_to_rp4,0,0,8,28000507#1,0,0,6,115.35
720.00,780.00,e_ccb_to_rp4,0,0,14,102165688#0,0,0,0,968.77
720.00,780.00,e_ccb_to_rp4,0,0,1,102165688#1,0,0,0,178.30
720.00,780.00,e_ccb_to_rp4,0,0,2,1136268465,1,1,1,733.35
720.00,780.00,e_ccb_to_rp4,0,0,1,190876198,0,0,1,352.25
720.00,780.00,e_ccb_to_rp4,0,0,1,28000507#1,0,0,1,119.47
780.00,840.00,e_ccb_to_rp4,0,0,6,102165688#0,0,0,7,1483.53
780.00,840.00,e_ccb_to_rp4,0,0,5,102165688#1,0,0,5,158.12
780.00,840.00,e_ccb_to_rp4,0,0,8,1136268465,4,4,14,607.26
780.00,840.00,e_ccb_to_rp4,0,0,14,190876198,1,1,15,252.56
780.00,840.00,e_ccb_to_rp4,0,0,17,28000507#1,0,0,18,105.23
840.00,900.00,e_ccb_to_rp4,0,0,15,102165688#0,0,0,16,1115.07
840.00,900.00,e_ccb_to_rp4,0,0,9,102165688#1,0,0,9,168.07
840.00,900.00,e_ccb_to_rp4,0,0,12,1136268465,9,9,7,600.82
840.00,900.00,e_ccb_to_rp4,0,0,7,190876198,0,0,6,322.06
840.00,900.00,e_ccb_to_rp4,0,0,4,28000507#1,0,0,3,114.00
900.00,960.00,e_ccb_to_rp4,0,0,7,102165688#0,0,0,4,1522.61
900.00,960.00,e_ccb_to_rp4,0,0,2,102165688#1,0,0,3,168.68
900.00,960.00,e_ccb_to_rp4,0,0,5,1136268465,2,2,5,701.31
900.00,960.00,e_ccb_to_rp4,0,0,4,190876198,0,0,6,313.49
900.00,960.00,e_ccb_to_rp4,0,0,6,28000507#1,0,0,6,127.01
960.00,1020.00,e_ccb_to_rp4,0,0,5,102165688#0,0,0,7,1486.08
960.00,1020.00,e_ccb_to_rp4,0,0,5,102165688#1,0,0,6,155.64
960.00,1020.00,e_ccb_to_rp4,0,0,9,1136268465,7,7,12,609.78
960.00,1020.00,e_ccb_to_rp4,0,0,13,190876198,0,0,12,256.41
960.00,1020.00,e_ccb_to_rp4,0,0,12,28000507#1,0,0,13,101.64
