interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,60.00,e_r2ps_to_ach1_mgp_1,0,4.30,10,0,814259719,5,5,2.15,1,1.08,51.04,267.21,20.38,1.05,8.62,50.80,0.00
0.00,60.00,e_r2ps_to_ach1_mgp_1,0,0.84,0,1,689277284#0,0,0,0.84,1,0.39,4.09,4.09,21.08,1.08,0.12,3.83,0.00
0.00,60.00,e_r2ps_to_ach1_mgp_1,0,1.25,0,1,689277288#0,0,0,1.25,1,0.54,2.48,2.48,15.39,1.11,0.12,2.15,0.00
0.00,60.00,e_r2ps_to_ach1_mgp_1,0,,0,0,689277288#1,0,0,,0,,,0.00,,,,,
0.00,60.00,e_r2ps_to_ach1_mgp_1,0,,0,0,689277288#2,0,0,,0,,,0.00,,,,,
0.00,60.00,e_r2ps_to_ach1_mgp_1,0,1.42,0,1,881567591#0,0,0,0.71,0,0.34,8.93,5.73,8.08,0.97,0.36,8.31,0.00
0.00,60.00,e_r2ps_to_ach1_mgp_1,0,,0,0,881567591#1,0,0,,0,,,0.00,,,,,
0.00,60.00,e_r2ps_to_ach1_mgp_1,0,,0,0,881567591#2,0,0,,0,,,0.00,,,,,
0.00,60.00,e_r2ps_to_ach1_mgp_2,0,,0,0,689277284#1,0,0,,0,,,0.00,,,,,
0.00,60.00,e_r2ps_to_ach1_mgp_2,0,,0,0,689277284#2,0,0,,0,,,0.00,,,,,
0.00,60.00,e_r2ps_to_ach1_mgp_2,0,4.63,0,3,689277281#7,0,0,2.31,2,1.01,2.95,8.43,11.98,0.86,0.21,2.50,0.00
0.00,60.00,e_r2ps_to_ach1_mgp_2,0,6.22,0,2,689277286#0,0,0,6.22,2,1.58,0.93,1.86,10.73,0.77,0.40,0.47,0.00
0.00,60.00,e_r2ps_to_ach1_mgp_2,0,2.36,0,2,689277286#1,0,0,2.36,1,1.08,5.03,8.36,12.73,0.92,0.35,4.56,0.00
60.00,120.00,e_r2ps_to_ach1_mgp_1,0,13.08,18,0,814259719,8,8,6.54,12,3.26,55.92,812.35,18.60,0.96,46.42,55.67,0.00
60.00,120.00,e_r2ps_to_ach1_mgp_1,0,8.70,0,9,689277284#0,0,0,8.70,9,4.09,4.71,42.41,18.30,0.94,3.39,4.40,0.00
60.00,120.00,e_r2ps_to_ach1_mgp_1,0,11.56,0,8,689277288#0,0,0,11.56,8,5.03,2.87,22.98,13.28,0.96,2.15,2.49,0.00
60.00,120.00,e_r2ps_to_ach1_mgp_1,0,8.54,0,8,689277288#1,0,0,8.54,6,4.01,6.60,43.21,13.53,0.97,3.05,6.23,0.00
60.00,120.00,e_r2ps_to_ach1_mgp_1,0,6.75,0,6,689277288#2,0,0,6.75,4,3.12,6.31,31.26,13.01,0.94,2.19,5.75,0.00
60.00,120.00,e_r2ps_to_ach1_mgp_1,0,40.37,0,17,881567591#0,5,5,20.19,15,9.41,10.50,162.69,6.87,0.83,30.01,9.77,0.00
60.00,120.00,e_r2ps_to_ach1_mgp_1,0,36.25,0,14,881567591#1,4,4,18.13,13,8.13,6.85,93.51,7.01,0.84,16.44,6.05,1.00
60.00,120.00,e_r2ps_to_ach1_mgp_1,0,82.76,0,13,881567591#2,0,0,41.38,13,17.41,5.06,65.79,3.61,0.43,40.76,4.18,20.00
60.00,120.00,e_r2ps_to_ach1_mgp_2,0,,0,0,689277284#1,0,0,,0,,,0.00,,,,,
60.00,120.00,e_r2ps_to_ach1_mgp_2,0,,0,0,689277284#2,0,0,,0,,,0.00,,,,,
60.00,120.00,e_r2ps_to_ach1_mgp_2,0,41.39,0,18,689277281#7,10,10,20.69,17,9.10,4.57,75.42,7.75,0.56,31.47,3.93,3.00
60.00,120.00,e_r2ps_to_ach1_mgp_2,0,50.09,0,15,689277286#0,0,0,50.09,15,12.49,1.00,14.97,10.00,0.72,4.07,0.52,0.00
60.00,120.00,e_r2ps_to_ach1_mgp_2,0,22.19,0,15,689277286#1,0,0,22.19,13,10.03,5.75,78.65,11.15,0.80,12.05,5.09,0.00
120.00,180.00,e_r2ps_to_ach1_mgp_1,0,13.29,13,0,814259719,10,10,6.65,15,3.31,62.09,825.60,16.75,0.86,91.01,61.77,0.00
120.00,180.00,e_r2ps_to_ach1_mgp_1,0,11.24,0,9,689277284#0,0,0,11.24,9,5.29,6.09,54.81,14.16,0.73,12.62,5.69,0.00
120.00,180.00,e_r2ps_to_ach1_mgp_1,0,14.73,0,9,689277288#0,0,0,14.73,9,6.41,3.25,29.29,11.72,0.84,4.04,2.82,0.00
120.00,180.00,e_r2ps_to_ach1_mgp_1,0,15.18,0,10,689277288#1,0,0,15.18,9,7.18,8.11,76.85,11.01,0.79,16.80,7.64,0.00
120.00,180.00,e_r2ps_to_ach1_mgp_1,0,12.39,0,9,689277288#2,0,0,12.39,7,5.76,7.42,57.34,11.06,0.80,11.51,6.83,0.00
120.00,180.00,e_r2ps_to_ach1_mgp_1,0,74.11,0,26,881567591#0,8,8,37.05,26,17.25,11.37,298.62,6.35,0.76,72.27,10.54,2.00
120.00,180.00,e_r2ps_to_ach1_mgp_1,0,102.94,0,27,881567591#1,3,3,51.47,25,22.92,10.15,265.52,4.73,0.57,114.47,8.53,8.00
120.00,180.00,e_r2ps_to_ach1_mgp_1,0,183.79,0,25,881567591#2,4,4,91.89,22,34.20,6.44,146.11,2.83,0.34,100.19,4.82,12.00
120.00,180.00,e_r2ps_to_ach1_mgp_2,0,1.28,0,1,689277284#1,0,0,1.28,1,0.60,9.53,9.53,13.60,0.70,2.18,8.78,0.00
120.00,180.00,e_r2ps_to_ach1_mgp_2,0,7.86,0,1,689277284#2,0,0,7.86,1,1.06,0.88,0.88,7.82,0.40,0.04,0.24,0.00
120.00,180.00,e_r2ps_to_ach1_mgp_2,0,54.90,0,20,689277281#7,11,11,27.45,21,11.80,4.75,100.03,7.45,0.54,44.35,4.24,1.00
120.00,180.00,e_r2ps_to_ach1_mgp_2,0,61.61,0,20,689277286#0,0,0,61.61,20,15.48,0.93,18.41,10.71,0.77,4.25,0.49,0.00
120.00,180.00,e_r2ps_to_ach1_mgp_2,0,41.28,0,19,689277286#1,0,0,41.28,20,19.01,7.41,146.31,8.64,0.62,49.85,6.66,0.00
180.00,240.00,e_r2ps_to_ach1_mgp_1,0,12.53,9,0,814259719,9,9,6.27,13,3.22,59.43,778.58,17.51,0.90,62.31,59.15,0.00
180.00,240.00,e_r2ps_to_ach1_mgp_1,0,6.65,0,7,689277284#0,0,0,6.65,7,3.13,4.63,32.43,18.61,0.96,2.06,4.35,0.00
180.00,240.00,e_r2ps_to_ach1_mgp_1,0,5.00,0,4,689277288#0,0,0,5.00,3,2.18,2.75,9.93,13.88,1.00,0.49,2.39,0.00
180.00,240.00,e_r2ps_to_ach1_mgp_1,0,6.88,0,3,689277288#1,0,0,6.88,6,3.26,6.99,34.83,12.79,0.92,3.62,6.59,0.00
180.00,240.00,e_r2ps_to_ach1_mgp_1,0,18.50,0,6,689277288#2,0,0,18.50,10,8.63,10.29,85.64,7.98,0.57,35.18,9.27,0.00
180.00,240.00,e_r2ps_to_ach1_mgp_1,0,76.60,0,29,881567591#0,8,8,38.30,27,17.63,10.87,308.68,6.64,0.80,60.81,9.94,1.00
180.00,240.00,e_r2ps_to_ach1_mgp_1,0,118.94,0,26,881567591#1,3,3,59.47,23,26.87,12.94,306.79,3.71,0.45,170.07,11.24,31.00
180.00,240.00,e_r2ps_to_ach1_mgp_1,0,222.46,0,23,881567591#2,1,1,111.23,24,42.66,7.53,176.86,2.42,0.29,130.07,5.84,36.00
180.00,240.00,e_r2ps_to_ach1_mgp_2,0,3.81,0,3,689277284#1,0,0,3.81,2,1.82,9.64,28.47,13.44,0.69,9.30,8.86,0.00
180.00,240.00,e_r2ps_to_ach1_mgp_2,0,24.31,0,2,689277284#2,0,0,24.31,2,3.25,1.36,2.71,5.06,0.26,1.25,0.45,0.00
180.00,240.00,e_r2ps_to_ach1_mgp_2,0,49.10,0,20,689277281#7,8,8,24.55,21,10.73,4.38,89.46,8.08,0.58,35.07,3.75,4.00
180.00,240.00,e_r2ps_to_ach1_mgp_2,0,62.02,0,18,689277286#0,0,0,62.02,18,15.41,1.02,18.53,9.74,0.70,5.32,0.54,0.00
180.00,240.00,e_r2ps_to_ach1_mgp_2,0,32.23,0,18,689277286#1,0,0,32.23,19,14.68,6.17,114.22,10.39,0.75,21.89,5.50,0.00
240.00,300.00,e_r2ps_to_ach1_mgp_1,0,12.56,18,0,814259719,11,11,6.28,10,3.14,56.05,779.94,18.56,0.95,40.23,55.76,0.00
240.00,300.00,e_r2ps_to_ach1_mgp_1,0,8.70,0,8,689277284#0,0,0,8.70,8,4.33,5.30,42.42,16.31,0.84,3.27,4.97,0.00
240.00,300.00,e_r2ps_to_ach1_mgp_1,0,6.45,0,4,689277288#0,0,0,6.45,5,3.04,2.93,12.82,13.21,0.95,0.48,2.50,0.00
240.00,300.00,e_r2ps_to_ach1_mgp_1,0,6.26,0,5,689277288#1,0,0,6.26,4,3.24,6.90,31.71,13.02,0.94,1.43,6.48,0.00
240.00,300.00,e_r2ps_to_ach1_mgp_1,0,4.38,0,3,689277288#2,0,0,4.38,3,2.30,6.76,20.26,12.27,0.88,0.84,6.09,0.00
240.00,300.00,e_r2ps_to_ach1_mgp_1,0,61.02,0,21,881567591#0,13,13,30.51,24,14.40,11.38,245.91,6.35,0.76,59.97,10.39,5.00
240.00,300.00,e_r2ps_to_ach1_mgp_1,0,87.18,0,23,881567591#1,2,2,43.59,28,20.05,8.67,224.87,5.55,0.67,73.84,7.88,4.00
