interval_begin,interval_end,interval_id,edge_arrived,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_sampledSeconds
0.00,60.00,e_r2ps_to_rp1,0,0,0,689277284#1,0,0,0,0.00
0.00,60.00,e_r2ps_to_rp1,0,0,0,689277284#2,0,0,0,0.00
0.00,60.00,e_r2pn_0_to_rp1,0,0,0,689277282,0,0,0,0.00
0.00,60.00,e_r2pn_0_to_rp1,0,0,0,881567590#0,0,0,0,0.00
0.00,60.00,e_r2pn_0_to_rp1,0,0,0,881567590#1,0,0,0,0.00
0.00,60.00,e_r2pn_1_to_rp1,0,0,0,1107701847.173,0,0,0,0.00
0.00,60.00,e_r2pn_1_to_rp1,0,0,0,881567590#1,0,0,0,0.00
0.00,60.00,e_plsr_to_rp1,0,0,1,22674672,0,0,1,3.94
0.00,60.00,e_plsr_to_rp1,0,0,1,591402342#0,0,0,1,3.22
0.00,60.00,e_plsr_to_rp1,0,0,1,591402342#1,0,0,1,1.43
0.00,60.00,e_plsr_to_rp1,0,0,1,689277290#0,0,0,1,2.41
0.00,60.00,e_plsr_to_rp1,0,1,1,689277290#1,0,0,2,2.85
0.00,60.00,e_grgn_to_rp1,0,0,5,34778584#0,0,0,3,43.97
0.00,60.00,e_grgn_to_rp1,0,0,3,34778584#1,0,0,3,6.32
60.00,120.00,e_r2ps_to_rp1,0,0,0,689277284#1,0,0,0,0.00
60.00,120.00,e_r2ps_to_rp1,0,0,0,689277284#2,0,0,0,0.00
60.00,120.00,e_r2pn_0_to_rp1,0,0,5,689277282,0,0,5,50.19
60.00,120.00,e_r2pn_0_to_rp1,0,0,6,881567590#0,1,1,5,58.75
60.00,120.00,e_r2pn_0_to_rp1,0,1,5,881567590#1,1,1,6,33.95
60.00,120.00,e_r2pn_1_to_rp1,0,0,1,1107701847.173,0,0,1,1.41
60.00,120.00,e_r2pn_1_to_rp1,0,1,5,881567590#1,1,1,6,33.95
60.00,120.00,e_plsr_to_rp1,0,0,9,22674672,0,0,7,39.34
60.00,120.00,e_plsr_to_rp1,0,0,7,591402342#0,0,0,7,28.59
60.00,120.00,e_plsr_to_rp1,0,0,7,591402342#1,0,0,7,12.38
60.00,120.00,e_plsr_to_rp1,0,0,8,689277290#0,0,0,8,34.91
60.00,120.00,e_plsr_to_rp1,0,0,7,689277290#1,0,0,7,10.82
60.00,120.00,e_grgn_to_rp1,0,0,8,34778584#0,0,0,10,109.62
60.00,120.00,e_grgn_to_rp1,0,0,10,34778584#1,0,0,10,18.19
120.00,180.00,e_r2ps_to_rp1,0,0,1,689277284#1,0,0,1,9.53
120.00,180.00,e_r2ps_to_rp1,0,0,1,689277284#2,0,0,1,0.88
120.00,180.00,e_r2pn_0_to_rp1,0,0,5,689277282,0,0,2,31.79
120.00,180.00,e_r2pn_0_to_rp1,0,0,7,881567590#0,1,1,7,36.29
120.00,180.00,e_r2pn_0_to_rp1,0,0,7,881567590#1,1,1,6,18.61
120.00,180.00,e_r2pn_1_to_rp1,0,0,5,1107701847.173,0,0,5,7.34
120.00,180.00,e_r2pn_1_to_rp1,0,0,7,881567590#1,1,1,6,18.61
120.00,180.00,e_plsr_to_rp1,0,0,9,22674672,0,0,10,44.66
120.00,180.00,e_plsr_to_rp1,0,0,10,591402342#0,0,0,10,40.83
120.00,180.00,e_plsr_to_rp1,0,0,10,591402342#1,0,0,9,16.14
120.00,180.00,e_plsr_to_rp1,0,0,9,689277290#0,0,0,9,33.04
120.00,180.00,e_plsr_to_rp1,0,0,10,689277290#1,0,0,9,16.68
120.00,180.00,e_grgn_to_rp1,0,0,6,34778584#0,0,0,5,59.03
120.00,180.00,e_grgn_to_rp1,0,0,5,34778584#1,0,0,5,4.10
180.00,240.00,e_r2ps_to_rp1,0,0,3,689277284#1,0,0,2,28.47
180.00,240.00,e_r2ps_to_rp1,0,0,2,689277284#2,0,0,2,2.71
180.00,240.00,e_r2pn_0_to_rp1,0,0,10,689277282,0,0,12,114.68
180.00,240.00,e_r2pn_0_to_rp1,0,0,13,881567590#0,4,4,11,63.37
180.00,240.00,e_r2pn_0_to_rp1,0,0,11,881567590#1,0,0,12,16.08
180.00,240.00,e_r2pn_1_to_rp1,0,0,3,1107701847.173,0,0,3,4.68
180.00,240.00,e_r2pn_1_to_rp1,0,0,11,881567590#1,0,0,12,16.08
180.00,240.00,e_plsr_to_rp1,0,0,12,22674672,0,0,13,66.93
180.00,240.00,e_plsr_to_rp1,0,0,13,591402342#0,0,0,9,85.57
180.00,240.00,e_plsr_to_rp1,0,0,9,591402342#1,0,0,8,73.34
180.00,240.00,e_plsr_to_rp1,0,0,8,689277290#0,0,0,6,78.90
180.00,240.00,e_plsr_to_rp1,0,0,6,689277290#1,0,0,6,38.42
180.00,240.00,e_grgn_to_rp1,0,0,4,34778584#0,0,0,3,40.12
180.00,240.00,e_grgn_to_rp1,0,0,3,34778584#1,0,0,3,6.38
240.00,300.00,e_r2ps_to_rp1,0,0,3,689277284#1,0,0,2,109.34
240.00,300.00,e_r2ps_to_rp1,0,0,2,689277284#2,0,0,1,52.67
240.00,300.00,e_r2pn_0_to_rp1,0,0,4,689277282,0,0,5,41.88
240.00,300.00,e_r2pn_0_to_rp1,0,0,10,881567590#0,2,2,12,56.94
240.00,300.00,e_r2pn_0_to_rp1,0,0,12,881567590#1,0,0,12,37.95
240.00,300.00,e_r2pn_1_to_rp1,0,0,4,1107701847.173,0,0,4,6.25
240.00,300.00,e_r2pn_1_to_rp1,0,0,12,881567590#1,0,0,12,37.95
240.00,300.00,e_plsr_to_rp1,0,0,8,22674672,0,0,8,45.44
240.00,300.00,e_plsr_to_rp1,0,0,8,591402342#0,0,0,10,216.75
240.00,300.00,e_plsr_to_rp1,0,0,10,591402342#1,0,0,10,86.99
