interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,60.00,e_rp2_to_rp3,0,2.79,0,2,542209565,2,2,1.40,2,0.68,20.76,41.52,12.17,0.88,2.88,20.14,0.00
0.00,60.00,e_rp2_to_rp3,0,59.55,0,2,136182032#1,0,0,29.77,2,0.85,0.55,1.07,9.55,0.69,0.17,0.03,0.00
60.00,120.00,e_rp2_to_rp3,0,13.19,0,14,542209565,7,7,6.59,7,3.21,19.43,196.07,13.01,0.94,16.71,18.91,0.00
60.00,120.00,e_rp2_to_rp3,0,212.00,0,7,136182032#1,0,0,106.00,7,2.99,0.54,3.82,9.82,0.71,0.93,0.03,0.00
120.00,180.00,e_rp2_to_rp3,0,23.92,0,17,542209565,15,15,11.96,16,5.79,20.62,355.51,12.26,0.88,44.76,19.87,0.00
120.00,180.00,e_rp2_to_rp3,0,266.67,0,16,136182032#1,0,0,133.33,16,8.89,0.76,11.69,6.95,0.50,5.48,0.10,1.00
180.00,240.00,e_rp2_to_rp3,0,30.36,0,17,542209565,11,11,15.18,20,7.37,24.98,451.29,10.12,0.73,127.56,23.93,14.00
180.00,240.00,e_rp2_to_rp3,0,266.67,0,19,136182032#1,0,0,133.33,19,9.30,0.60,11.83,8.81,0.63,3.85,0.04,0.00
240.00,300.00,e_rp2_to_rp3,0,19.47,0,14,542209565,10,10,9.74,14,4.73,20.31,289.49,12.45,0.90,26.71,19.67,0.00
240.00,300.00,e_rp2_to_rp3,0,266.67,1,15,136182032#1,0,0,133.33,16,8.58,0.68,10.85,7.79,0.56,4.21,0.04,0.00
300.00,360.00,e_rp2_to_rp3,0,19.85,0,13,542209565,13,13,9.92,16,4.96,20.76,295.07,12.18,0.88,39.31,20.10,0.00
300.00,360.00,e_rp2_to_rp3,0,266.67,0,16,136182032#1,0,0,133.33,16,7.79,0.64,10.04,8.48,0.61,3.34,0.05,0.00
360.00,420.00,e_rp2_to_rp3,0,26.73,0,21,542209565,14,14,13.36,17,6.49,21.43,397.31,11.79,0.85,53.69,20.84,0.00
