interval_begin,interval_end,interval_id,edge_arrived,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_sampledSeconds
0.00,60.00,e_rp4_to_rp3,0,0,0,22650422#0,0,0,0,0.00
0.00,60.00,e_rp4_to_rp3,0,0,0,22650422#1,0,0,0,0.00
0.00,60.00,e_rp4_to_rp3,0,0,0,22650422#2,0,0,0,0.00
0.00,60.00,e_rp4_to_rp3,0,0,0,22650422#3,0,0,0,0.00
0.00,60.00,e_rp4_to_rp3,0,0,0,22650422#4,0,0,0,0.00
60.00,120.00,e_rp4_to_rp3,0,0,1,22650422#0,0,0,1,0.88
60.00,120.00,e_rp4_to_rp3,0,0,1,22650422#1,0,0,1,1.56
60.00,120.00,e_rp4_to_rp3,0,0,1,22650422#2,0,0,1,8.90
60.00,120.00,e_rp4_to_rp3,0,0,1,22650422#3,0,0,1,7.74
60.00,120.00,e_rp4_to_rp3,0,0,1,22650422#4,0,0,1,1.82
120.00,180.00,e_rp4_to_rp3,0,0,8,22650422#0,0,0,8,14.87
120.00,180.00,e_rp4_to_rp3,0,0,8,22650422#1,0,0,8,15.90
120.00,180.00,e_rp4_to_rp3,0,0,8,22650422#2,0,0,8,73.11
120.00,180.00,e_rp4_to_rp3,0,0,8,22650422#3,0,0,7,77.69
120.00,180.00,e_rp4_to_rp3,0,0,7,22650422#4,0,0,7,14.37
180.00,240.00,e_rp4_to_rp3,0,0,15,22650422#0,0,0,15,39.61
180.00,240.00,e_rp4_to_rp3,0,1,14,22650422#1,0,0,15,33.87
180.00,240.00,e_rp4_to_rp3,0,0,15,22650422#2,0,0,12,132.14
180.00,240.00,e_rp4_to_rp3,0,0,12,22650422#3,0,0,10,94.64
180.00,240.00,e_rp4_to_rp3,0,0,10,22650422#4,0,0,10,19.64
240.00,300.00,e_rp4_to_rp3,0,0,13,22650422#0,0,0,12,13.81
240.00,300.00,e_rp4_to_rp3,0,0,13,22650422#1,0,0,13,21.56
240.00,300.00,e_rp4_to_rp3,0,0,13,22650422#2,0,0,14,134.81
240.00,300.00,e_rp4_to_rp3,0,0,13,22650422#3,0,0,12,294.99
240.00,300.00,e_rp4_to_rp3,0,0,12,22650422#4,0,0,12,27.67
300.00,360.00,e_rp4_to_rp3,0,0,16,22650422#0,0,0,17,37.61
300.00,360.00,e_rp4_to_rp3,0,0,16,22650422#1,0,0,16,33.94
300.00,360.00,e_rp4_to_rp3,0,0,16,22650422#2,0,0,16,160.23
300.00,360.00,e_rp4_to_rp3,0,0,16,22650422#3,0,0,12,284.90
300.00,360.00,e_rp4_to_rp3,0,0,12,22650422#4,0,0,12,24.85
360.00,420.00,e_rp4_to_rp3,0,0,20,22650422#0,0,0,20,25.98
360.00,420.00,e_rp4_to_rp3,0,0,21,22650422#1,0,0,21,38.32
360.00,420.00,e_rp4_to_rp3,0,0,21,22650422#2,0,0,16,276.69
360.00,420.00,e_rp4_to_rp3,0,0,13,22650422#3,0,0,13,557.63
360.00,420.00,e_rp4_to_rp3,0,0,12,22650422#4,0,0,12,24.91
420.00,480.00,e_rp4_to_rp3,0,0,15,22650422#0,0,0,15,23.30
420.00,480.00,e_rp4_to_rp3,0,0,14,22650422#1,0,0,14,26.90
420.00,480.00,e_rp4_to_rp3,0,0,14,22650422#2,0,0,15,305.11
420.00,480.00,e_rp4_to_rp3,0,0,15,22650422#3,0,0,13,574.75
420.00,480.00,e_rp4_to_rp3,0,0,14,22650422#4,0,0,14,29.09
480.00,540.00,e_rp4_to_rp3,0,0,18,22650422#0,0,0,18,25.55
480.00,540.00,e_rp4_to_rp3,0,0,19,22650422#1,0,0,19,33.39
480.00,540.00,e_rp4_to_rp3,0,0,19,22650422#2,0,0,14,478.69
480.00,540.00,e_rp4_to_rp3,0,0,12,22650422#3,0,0,12,611.80
480.00,540.00,e_rp4_to_rp3,0,0,12,22650422#4,0,0,11,29.11
540.00,600.00,e_rp4_to_rp3,0,0,16,22650422#0,0,0,16,44.18
540.00,600.00,e_rp4_to_rp3,0,0,15,22650422#1,0,0,15,75.42
540.00,600.00,e_rp4_to_rp3,0,0,15,22650422#2,0,0,14,742.02
540.00,600.00,e_rp4_to_rp3,0,0,12,22650422#3,0,0,10,622.31
540.00,600.00,e_rp4_to_rp3,0,0,10,22650422#4,0,0,11,23.57
600.00,660.00,e_rp4_to_rp3,0,0,11,22650422#0,0,0,11,31.99
600.00,660.00,e_rp4_to_rp3,0,0,11,22650422#1,0,0,10,58.47
600.00,660.00,e_rp4_to_rp3,0,0,10,22650422#2,0,0,11,742.27
600.00,660.00,e_rp4_to_rp3,0,0,11,22650422#3,0,0,13,616.05
600.00,660.00,e_rp4_to_rp3,0,0,13,22650422#4,0,0,12,23.78
660.00,720.00,e_rp4_to_rp3,0,0,12,22650422#0,0,0,12,42.40
660.00,720.00,e_rp4_to_rp3,0,0,12,22650422#1,0,0,13,80.32
660.00,720.00,e_rp4_to_rp3,0,0,13,22650422#2,0,0,14,708.77
660.00,720.00,e_rp4_to_rp3,0,0,12,22650422#3,0,0,14,579.94
660.00,720.00,e_rp4_to_rp3,0,0,13,22650422#4,0,0,14,33.05
720.00,780.00,e_rp4_to_rp3,0,0,17,22650422#0,0,0,16,41.19
720.00,780.00,e_rp4_to_rp3,0,0,17,22650422#1,0,0,15,58.93
