interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
0.00,60.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,12.30,6,0.00,0.00,0.00,0.00,4.45,10.84,1.85,1.90,9,4,9,109.15,0.00
0.00,60.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.04,9.34,0.16,0.02,1,1,1,0.46,0.00
60.00,120.00,3.00,z_ach1_mgp_to_rp1_1,3.00,0.00,0,1.00,1.00,0.00,0,16.53,7,1.00,1.00,0.00,0.00,12.27,9.42,3.45,5.40,13,14,18,308.62,3.00
60.00,120.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
120.00,180.00,1.00,z_ach1_mgp_to_rp1_1,1.00,0.00,0,1.00,1.00,0.00,0,14.76,6,1.00,1.00,0.00,0.00,9.66,9.45,2.85,4.25,11,11,15,242.48,1.00
120.00,180.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
180.00,240.00,3.00,z_ach1_mgp_to_rp1_1,3.00,10.00,2,3.00,3.00,5.00,1,19.68,9,3.00,3.00,0.17,0.03,13.56,9.88,2.69,5.95,18,15,22,340.55,1.00
180.00,240.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.04,8.11,0.10,0.02,1,1,1,0.30,0.00
240.00,300.00,3.00,z_ach1_mgp_to_rp1_1,3.00,0.00,0,1.00,1.00,0.00,0,21.52,9,1.00,1.00,0.00,0.00,17.70,9.07,3.74,7.77,20,19,27,443.61,3.00
240.00,300.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
300.00,360.00,1.00,z_ach1_mgp_to_rp1_1,1.00,0.00,0,1.00,1.00,0.00,0,21.24,9,1.00,1.00,0.00,0.00,13.91,9.72,2.89,6.15,16,17,24,350.28,1.00
300.00,360.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.04,8.96,0.11,0.02,1,1,1,0.26,0.00
360.00,420.00,2.00,z_ach1_mgp_to_rp1_1,1.00,0.00,0,1.00,1.00,0.00,0,22.14,9,1.00,0.50,0.00,0.00,16.68,8.84,4.58,7.32,17,20,24,419.69,1.00
360.00,420.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
420.00,480.00,2.00,z_ach1_mgp_to_rp1_1,2.00,5.00,1,2.00,2.00,5.00,1,21.23,9,2.00,2.00,0.08,0.02,13.33,9.42,2.83,5.82,18,13,22,333.09,1.00
420.00,480.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
480.00,540.00,2.00,z_ach1_mgp_to_rp1_1,2.00,0.00,0,1.00,1.00,0.00,0,24.60,11,1.00,1.00,0.00,0.00,17.69,8.98,3.68,7.68,19,18,28,442.43,2.00
480.00,540.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
540.00,600.00,13.00,z_ach1_mgp_to_rp1_1,12.00,20.00,4,2.00,2.00,5.00,1,27.05,11,1.44,1.33,0.33,0.07,18.36,8.34,4.88,7.98,18,21,28,459.17,8.00
540.00,600.00,3.00,z_ach1_mgp_to_rp1_2,3.00,5.00,1,2.00,2.00,5.00,1,5.89,2,1.50,1.50,0.08,0.02,1.00,5.87,4.66,0.40,2,1,2,22.62,2.00
600.00,660.00,27.00,z_ach1_mgp_to_rp1_1,26.00,85.41,16,4.00,4.00,12.85,2,22.14,10,2.45,2.36,1.42,0.27,17.27,7.78,6.01,7.40,16,16,23,429.04,10.00
600.00,660.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.76,10.16,0.96,0.32,1,2,2,18.40,0.00
660.00,720.00,2.00,z_ach1_mgp_to_rp1_1,2.00,5.00,1,2.00,2.00,5.00,1,19.68,9,2.00,2.00,0.08,0.02,14.38,9.35,3.70,6.32,16,17,23,360.82,1.00
660.00,720.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
720.00,780.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,18.40,8,0.00,0.00,0.00,0.00,13.26,9.40,2.69,5.68,15,15,21,325.35,0.00
720.00,780.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
780.00,840.00,10.00,z_ach1_mgp_to_rp1_1,10.00,25.00,5,3.00,3.00,5.00,1,22.14,10,2.00,2.00,0.42,0.08,14.86,8.40,5.51,6.45,14,16,20,372.42,5.00
780.00,840.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
840.00,900.00,2.00,z_ach1_mgp_to_rp1_1,2.00,5.00,1,2.00,2.00,5.00,1,21.96,9,2.00,2.00,0.08,0.02,15.49,9.31,3.26,6.78,20,16,24,388.25,1.00
840.00,900.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
900.00,960.00,8.00,z_ach1_mgp_to_rp1_1,8.00,15.00,3,2.00,2.00,5.00,1,24.60,10,1.60,1.60,0.25,0.05,18.20,8.86,4.39,8.00,18,19,26,456.05,5.00
900.00,960.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
960.00,1020.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,19.68,8,0.00,0.00,0.00,0.00,12.41,9.45,2.65,5.45,13,14,20,312.72,0.00
960.00,1020.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
1020.00,1080.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,18.25,7,0.00,0.00,0.00,0.00,13.23,9.44,2.77,5.72,16,16,22,324.39,0.00
1020.00,1080.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
1080.00,1140.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,24.60,11,0.00,0.00,0.00,0.00,18.47,9.32,4.08,8.05,20,21,26,464.13,0.00
1080.00,1140.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
1140.00,1200.00,15.00,z_ach1_mgp_to_rp1_1,15.00,42.61,8,4.00,4.00,12.61,2,24.60,10,2.14,2.14,0.71,0.13,17.10,8.41,5.14,7.45,20,17,25,428.16,7.00
