interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
0.00,60.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
0.00,60.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
60.00,120.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,5.59,2,0.00,0.00,0.00,0.00,0.90,13.24,0.38,0.35,3,1,3,18.66,0.00
60.00,120.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,9.66,2,0.00,0.00,0.00,0.00,1.19,10.32,0.81,0.30,3,2,3,14.97,0.00
120.00,180.00,3.00,z_ccb_to_rp4_1,3.00,4.95,1,2.00,2.00,4.95,1,8.38,3,1.50,1.50,0.08,0.02,4.07,11.62,1.24,1.60,11,10,13,89.89,2.00
120.00,180.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,9.94,2,0.00,0.00,0.00,0.00,4.30,10.95,1.56,1.00,7,7,8,56.35,0.00
180.00,240.00,15.00,z_ccb_to_rp4_1,14.00,64.30,13,13.00,13.00,4.98,1,17.93,6,7.50,7.00,1.07,0.22,5.82,9.56,2.03,2.22,14,12,17,126.18,1.00
180.00,240.00,11.00,z_ccb_to_rp4_2,11.00,43.56,9,10.00,10.00,5.00,1,9.94,2,5.50,5.50,0.73,0.15,3.77,8.32,2.28,0.88,7,6,8,49.15,2.00
240.00,300.00,48.00,z_ccb_to_rp4_1,48.00,241.87,39,11.00,11.00,27.47,4,16.76,6,5.33,5.33,4.03,0.65,9.61,7.62,4.69,3.58,14,15,19,207.83,9.00
240.00,300.00,7.00,z_ccb_to_rp4_2,7.00,19.97,4,3.00,3.00,5.00,1,17.00,3,2.33,2.33,0.33,0.07,6.31,8.54,2.06,1.47,11,11,13,80.84,3.00
300.00,360.00,270.00,z_ccb_to_rp4_1,247.00,1630.23,237,39.00,29.00,49.95,7,27.90,10,19.29,17.64,27.17,3.95,19.49,4.12,14.04,7.10,17,13,21,417.45,11.00
300.00,360.00,117.00,z_ccb_to_rp4_2,115.00,686.43,102,17.00,17.00,42.79,6,34.78,7,8.36,8.21,11.44,1.70,19.90,3.91,10.23,4.25,15,10,17,248.90,14.00
360.00,420.00,478.00,z_ccb_to_rp4_1,339.00,2683.25,337,40.00,28.00,80.59,8,30.73,12,19.92,14.12,42.84,5.30,24.09,2.62,18.24,8.83,15,13,23,521.99,19.00
360.00,420.00,435.00,z_ccb_to_rp4_2,354.00,2235.19,315,30.00,20.00,78.10,10,49.72,10,8.05,6.55,33.63,4.62,39.06,1.10,31.30,8.05,7,8,14,479.24,49.00
420.00,480.00,207.00,z_ccb_to_rp4_1,160.00,1174.88,150,36.00,36.00,58.09,5,23.92,10,9.86,7.62,19.41,2.47,16.51,4.20,11.21,6.17,12,17,22,359.63,19.00
420.00,480.00,281.00,z_ccb_to_rp4_2,276.00,1729.81,246,33.00,33.00,57.49,8,45.02,10,8.52,8.36,28.75,4.08,33.75,1.60,23.01,7.03,10,8,16,417.54,31.00
480.00,540.00,224.00,z_ccb_to_rp4_1,221.00,1563.83,214,38.00,38.00,44.56,6,26.28,9,18.67,18.42,26.06,3.57,19.10,4.44,12.68,6.67,16,14,21,390.27,11.00
480.00,540.00,329.00,z_ccb_to_rp4_2,276.00,1733.64,247,33.00,31.00,65.07,9,46.91,10,9.40,7.88,28.73,4.08,34.07,1.77,19.03,7.08,11,11,19,419.15,29.00
540.00,600.00,598.00,z_ccb_to_rp4_1,530.00,3796.07,511,52.00,52.00,115.79,14,44.70,17,26.00,23.04,62.77,8.42,33.68,2.04,21.25,12.40,22,15,29,729.62,19.00
540.00,600.00,508.00,z_ccb_to_rp4_2,415.00,2870.17,388,42.00,42.00,80.11,11,54.69,12,15.88,12.97,46.62,6.25,45.18,1.13,31.44,9.30,8,7,16,552.22,27.00
600.00,660.00,707.00,z_ccb_to_rp4_1,539.00,4074.86,496,51.00,26.00,131.17,15,47.46,17,11.22,8.55,59.06,6.87,40.25,1.92,29.92,14.67,11,13,25,872.10,57.00
600.00,660.00,627.00,z_ccb_to_rp4_2,453.00,2909.98,394,42.00,29.00,95.40,12,59.66,12,9.50,6.86,42.77,5.65,50.58,1.06,33.57,10.48,8,7,17,622.53,61.00
660.00,720.00,595.00,z_ccb_to_rp4_1,590.00,4305.90,551,45.00,45.00,125.33,15,54.22,19,8.62,8.55,53.54,6.97,41.93,1.66,27.00,14.97,17,10,29,889.82,72.00
660.00,720.00,520.00,z_ccb_to_rp4_2,508.00,3543.48,474,38.00,38.00,97.63,13,64.61,13,9.29,9.07,50.30,6.50,53.46,0.74,32.67,11.00,9,6,19,657.22,53.00
720.00,780.00,1528.00,z_ccb_to_rp4_1,1204.00,10427.47,1195,105.00,60.00,178.94,21,59.81,21,63.67,50.17,171.14,19.62,57.77,0.04,57.77,20.30,2,0,21,1217.09,9.00
