interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
0.00,60.00,3.00,z_grgn_to_rp1,3.00,9.72,2,3.00,3.00,4.90,1,12.25,3,3.00,3.00,0.16,0.03,3.36,10.43,2.04,0.88,5,3,5,50.18,1.00
60.00,120.00,18.00,z_grgn_to_rp1,18.00,87.15,14,7.00,7.00,20.64,3,12.40,4,4.50,4.50,1.45,0.23,8.37,8.67,4.26,2.25,8,10,10,128.49,4.00
120.00,180.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,12.40,3,0.00,0.00,0.00,0.00,4.17,11.63,1.59,1.12,6,4,6,63.20,0.00
180.00,240.00,4.00,z_grgn_to_rp1,4.00,9.82,2,2.00,2.00,5.00,1,8.27,2,2.00,2.00,0.16,0.03,3.07,9.66,2.14,0.83,4,4,6,46.77,2.00
240.00,300.00,9.00,z_grgn_to_rp1,9.00,24.27,5,4.00,4.00,5.00,1,16.53,4,2.25,2.25,0.40,0.08,7.91,9.78,2.93,2.18,9,10,11,120.72,4.00
300.00,360.00,2.00,z_grgn_to_rp1,2.00,0.00,0,1.00,1.00,0.00,0,13.01,4,1.00,1.00,0.00,0.00,5.19,9.82,2.98,1.43,6,6,7,79.76,2.00
360.00,420.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,8.27,2,0.00,0.00,0.00,0.00,2.03,12.01,0.90,0.58,3,4,4,31.49,0.00
420.00,480.00,18.00,z_grgn_to_rp1,18.00,97.80,16,9.00,9.00,12.70,2,8.27,2,9.00,9.00,1.63,0.27,4.44,8.00,5.68,1.17,5,4,5,66.43,2.00
480.00,540.00,1.00,z_grgn_to_rp1,1.00,0.00,0,1.00,1.00,0.00,0,12.40,3,1.00,1.00,0.00,0.00,3.97,11.00,1.89,1.08,5,3,6,59.32,1.00
540.00,600.00,8.00,z_grgn_to_rp1,8.00,19.54,4,3.00,3.00,5.00,1,14.12,4,2.00,2.00,0.33,0.07,5.43,9.18,3.22,1.53,6,8,9,84.76,4.00
600.00,660.00,4.00,z_grgn_to_rp1,4.00,9.73,2,3.00,3.00,4.89,1,8.27,2,2.00,2.00,0.16,0.03,2.32,8.71,3.09,0.62,2,2,3,34.86,2.00
660.00,720.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,12.40,3,0.00,0.00,0.00,0.00,4.31,11.56,0.96,1.20,8,6,9,64.96,0.00
720.00,780.00,3.00,z_grgn_to_rp1,3.00,0.00,0,1.00,1.00,0.00,0,16.53,4,1.00,1.00,0.00,0.00,7.94,9.82,2.43,2.05,8,8,11,114.63,3.00
780.00,840.00,2.00,z_grgn_to_rp1,2.00,0.00,0,1.00,1.00,0.00,0,8.27,3,1.00,1.00,0.00,0.00,3.31,9.96,2.34,0.97,3,6,6,52.42,2.00
840.00,900.00,4.00,z_grgn_to_rp1,4.00,9.84,2,2.00,2.00,5.00,1,8.27,2,2.00,2.00,0.16,0.03,3.58,10.06,2.37,1.00,5,4,5,54.34,2.00
900.00,960.00,11.00,z_grgn_to_rp1,11.00,38.25,7,4.00,4.00,13.33,2,8.27,2,2.75,2.75,0.64,0.12,3.03,7.01,6.74,0.75,2,1,3,44.64,4.00
960.00,1020.00,30.00,z_grgn_to_rp1,24.00,139.22,23,12.00,9.00,13.12,2,12.24,3,10.00,8.00,2.32,0.38,3.15,5.39,7.55,0.88,2,4,4,50.09,1.00
1020.00,1080.00,36.00,z_grgn_to_rp1,36.00,165.28,26,6.00,6.00,28.20,4,24.80,6,3.60,3.60,2.75,0.43,12.36,6.76,8.00,3.25,11,9,11,184.16,10.00
1080.00,1140.00,28.00,z_grgn_to_rp1,28.00,107.98,22,13.00,13.00,5.00,1,8.27,2,4.67,4.67,1.80,0.37,4.48,5.91,7.90,1.18,3,3,5,69.07,6.00
1140.00,1200.00,59.00,z_grgn_to_rp1,55.00,317.40,52,26.00,22.00,13.17,2,12.24,3,14.75,13.75,5.29,0.87,7.04,4.44,11.59,1.85,4,4,6,106.26,3.00
1200.00,1260.00,19.00,z_grgn_to_rp1,19.00,77.45,16,15.00,15.00,5.00,1,8.27,2,6.33,6.33,1.29,0.27,3.83,6.60,7.36,0.98,2,2,4,56.95,3.00
1260.00,1320.00,28.00,z_grgn_to_rp1,12.00,59.48,10,18.00,5.00,13.21,2,8.27,2,7.00,3.00,0.99,0.17,3.38,6.87,5.02,0.92,3,4,5,53.18,2.00
1320.00,1380.00,2.00,z_grgn_to_rp1,2.00,4.82,1,2.00,2.00,4.82,1,16.53,5,2.00,2.00,0.08,0.02,5.57,9.09,3.28,1.52,6,6,7,85.11,1.00
1380.00,1440.00,20.00,z_grgn_to_rp1,20.00,80.92,14,10.00,10.00,20.63,3,20.51,5,3.33,3.33,1.35,0.23,7.16,8.55,4.42,1.88,8,4,9,106.02,6.00
1440.00,1500.00,401.00,z_grgn_to_rp1,384.00,2694.49,375,31.00,31.00,58.19,8,32.90,8,26.73,25.60,44.60,6.20,29.40,0.86,44.91,7.25,4,2,9,431.74,12.00
1500.00,1560.00,243.00,z_grgn_to_rp1,56.00,261.26,41,31.00,7.00,43.79,6,28.93,7,11.04,2.54,3.73,0.57,12.64,5.32,8.07,3.42,7,13,14,194.11,15.00
1560.00,1620.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,8.27,2,0.00,0.00,0.00,0.00,2.83,11.72,0.76,0.78,4,4,5,43.44,0.00
1620.00,1680.00,5.00,z_grgn_to_rp1,5.00,13.14,3,4.00,4.00,4.85,1,8.27,2,2.50,2.50,0.22,0.05,4.01,10.28,2.72,1.13,5,5,6,61.96,2.00
1680.00,1740.00,17.00,z_grgn_to_rp1,17.00,49.29,10,5.00,5.00,5.00,1,12.40,3,2.43,2.43,0.82,0.17,5.97,7.13,6.97,1.55,5,5,6,89.99,7.00
1740.00,1800.00,36.00,z_grgn_to_rp1,36.00,142.76,25,6.00,6.00,13.22,2,16.53,4,3.27,3.27,2.38,0.42,9.73,6.14,9.76,2.53,7,5,8,147.49,11.00
1800.00,1860.00,14.00,z_grgn_to_rp1,14.00,50.71,9,4.00,4.00,13.31,2,16.53,4,2.80,2.80,0.85,0.15,7.97,9.25,3.09,2.18,10,9,13,121.01,5.00
1860.00,1920.00,15.00,z_grgn_to_rp1,15.00,80.31,13,8.00,8.00,13.17,2,12.40,4,7.50,7.50,1.34,0.22,4.77,7.39,4.79,1.33,3,6,7,74.74,2.00
1920.00,1980.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,8.27,2,0.00,0.00,0.00,0.00,3.49,11.79,1.45,0.98,5,5,6,53.44,0.00
1980.00,2040.00,6.00,z_grgn_to_rp1,6.00,19.49,4,4.00,4.00,5.00,1,12.40,3,3.00,3.00,0.32,0.07,5.12,9.80,2.42,1.42,7,5,8,77.19,2.00
2040.00,2100.00,1.00,z_grgn_to_rp1,1.00,0.00,0,1.00,1.00,0.00,0,12.40,3,1.00,1.00,0.00,0.00,6.65,10.92,1.73,1.90,8,9,11,102.74,1.00
2100.00,2160.00,42.00,z_grgn_to_rp1,42.00,197.65,32,7.00,7.00,27.62,4,25.14,7,4.20,4.20,3.29,0.53,14.11,6.50,8.33,3.67,11,11,13,210.14,10.00
2160.00,2220.00,99.00,z_grgn_to_rp1,99.00,499.07,77,9.00,9.00,28.90,4,28.77,7,4.12,4.12,8.15,1.25,19.30,5.14,12.79,5.03,12,11,14,289.78,25.00
2220.00,2280.00,207.00,z_grgn_to_rp1,199.00,1260.80,184,23.00,23.00,36.35,5,27.21,7,12.18,11.71,20.85,3.03,20.23,2.37,24.94,5.08,7,5,10,297.60,15.00
2280.00,2340.00,87.00,z_grgn_to_rp1,87.00,391.31,65,16.00,16.00,29.19,4,24.14,6,3.95,3.95,6.36,1.05,14.50,4.08,13.76,3.83,6,8,11,220.97,22.00
2340.00,2400.00,174.00,z_grgn_to_rp1,170.00,1001.93,146,30.00,28.00,43.38,6,28.79,7,6.69,6.54,16.45,2.38,19.32,2.45,29.23,4.87,5,6,8,286.92,24.00
2400.00,2460.00,28.00,z_grgn_to_rp1,25.00,149.33,23,13.00,12.00,13.12,2,8.27,3,7.00,6.25,2.49,0.38,4.67,6.82,5.08,1.30,5,5,7,71.66,2.00
2460.00,2520.00,139.00,z_grgn_to_rp1,139.00,706.99,108,13.00,13.00,43.43,6,33.06,9,4.48,4.48,11.53,1.75,22.72,3.93,20.04,5.72,10,8,12,335.86,31.00
2520.00,2580.00,57.00,z_grgn_to_rp1,57.00,312.66,49,12.00,12.00,20.71,3,15.09,4,7.12,7.12,5.21,0.82,9.63,4.95,9.08,2.58,6,8,10,145.60,8.00
2580.00,2640.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,12.40,3,0.00,0.00,0.00,0.00,4.98,11.18,1.24,1.40,6,7,8,75.75,0.00
2640.00,2700.00,7.00,z_grgn_to_rp1,7.00,14.68,3,3.00,3.00,5.00,1,12.40,3,1.75,1.75,0.24,0.05,4.86,8.69,3.18,1.33,6,5,7,73.82,4.00
2700.00,2760.00,6.00,z_grgn_to_rp1,6.00,30.98,17,2.00,2.00,5.00,1,8.27,2,1.50,1.50,0.52,0.28,3.52,6.25,8.50,1.13,2,4,4,64.85,5.00
2760.00,2820.00,49.00,z_grgn_to_rp1,49.00,234.50,42,15.00,15.00,20.64,3,12.40,3,7.00,7.00,3.91,0.70,6.40,4.93,15.98,1.70,4,2,4,98.36,7.00
2820.00,2880.00,170.00,z_grgn_to_rp1,155.00,1019.13,151,75.00,60.00,35.64,5,20.51,5,34.00,31.00,16.99,2.52,12.35,1.63,31.99,3.03,3,0,5,180.68,4.00
2880.00,2940.00,553.00,z_grgn_to_rp1,383.00,2465.62,351,109.00,39.00,60.54,8,45.31,11,14.95,10.35,37.30,5.25,32.96,1.35,33.24,8.13,8,3,13,481.51,32.00
2940.00,3000.00,338.00,z_grgn_to_rp1,289.00,1805.15,254,18.00,18.00,67.83,9,39.06,10,7.86,6.72,28.34,3.95,33.93,2.02,24.16,8.22,7,9,17,485.32,35.00
3000.00,3060.00,191.00,z_grgn_to_rp1,188.00,1143.30,165,22.00,22.00,53.21,7,38.86,9,7.64,7.52,18.89,2.72,24.44,2.85,19.77,6.05,6,10,14,355.19,23.00
3060.00,3120.00,313.00,z_grgn_to_rp1,244.00,1582.05,228,42.00,24.00,43.84,6,36.22,9,15.65,12.20,26.29,3.78,23.85,2.03,26.68,5.90,7,4,11,348.35,16.00
3120.00,3180.00,330.00,z_grgn_to_rp1,301.00,2011.67,284,27.00,27.00,51.30,7,33.61,9,14.35,13.09,32.70,4.60,29.05,1.70,28.48,7.27,6,7,13,427.56,17.00
3180.00,3240.00,257.00,z_grgn_to_rp1,257.00,1388.83,204,15.00,15.00,65.53,9,41.18,10,4.85,4.85,21.30,3.07,31.93,2.37,25.80,7.97,9,7,15,470.45,53.00
3240.00,3300.00,521.00,z_grgn_to_rp1,513.00,3320.97,459,33.00,33.00,103.10,13,57.70,14,8.83,8.69,49.77,6.78,46.46,1.20,38.64,11.47,8,6,16,680.92,54.00
3300.00,3360.00,219.00,z_grgn_to_rp1,213.00,1206.70,176,21.00,21.00,58.16,8,41.18,10,5.34,5.20,19.37,2.78,27.68,2.84,17.83,6.95,8,9,18,407.44,38.00
3360.00,3420.00,621.00,z_grgn_to_rp1,501.00,3407.60,473,46.00,33.00,75.09,10,45.30,11,17.25,13.92,53.70,7.38,39.94,0.70,42.58,9.78,4,3,13,583.51,28.00
3420.00,3480.00,800.00,z_grgn_to_rp1,770.00,5430.42,747,52.00,52.00,109.90,15,65.37,16,25.81,24.84,88.00,12.05,56.50,0.42,47.32,13.95,7,4,17,830.57,23.00
3480.00,3540.00,823.00,z_grgn_to_rp1,637.00,3859.92,537,49.00,30.00,91.38,12,61.83,15,7.55,5.84,44.35,6.02,56.28,1.04,40.91,14.12,6,6,19,842.27,100.00
3540.00,3600.00,833.00,z_grgn_to_rp1,769.00,5035.27,707,37.00,37.00,120.99,17,66.26,17,12.07,11.14,77.38,10.67,59.74,0.59,45.32,15.07,6,4,19,900.07,62.00
3600.00,3660.00,703.00,z_grgn_to_rp1,336.00,1783.42,262,37.00,16.00,97.36,13,61.83,15,8.08,3.86,28.38,4.10,48.70,2.16,23.58,12.42,11,11,26,735.20,74.00
3660.00,3720.00,532.00,z_grgn_to_rp1,405.00,2887.55,392,40.00,37.00,110.04,14,58.88,15,19.70,15.00,42.68,5.77,37.59,1.57,32.47,9.47,0,15,15,559.97,13.00
3720.00,3780.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3780.00,3840.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3840.00,3900.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3900.00,3960.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3960.00,4020.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4020.00,4080.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4080.00,4140.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4140.00,4200.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4200.00,4260.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4260.00,4320.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4320.00,4380.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4380.00,4440.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,4.13,1,0.00,0.00,0.00,0.00,0.62,13.24,0.46,0.17,1,1,1,9.51,0.00
4440.00,4500.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4500.00,4560.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4560.00,4620.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4620.00,4680.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4680.00,4740.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4740.00,4800.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4800.00,4860.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4860.00,4920.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4920.00,4980.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4980.00,5040.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5040.00,5100.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5100.00,5160.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5160.00,5220.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5220.00,5280.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5280.00,5340.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5340.00,5400.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5400.00,5433.00,0.00,z_grgn_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
