interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
0.00,60.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,3.78,2,0.00,0.00,0.00,0.00,0.59,13.04,1.36,0.28,2,2,2,16.65,0.00
60.00,120.00,10.00,z_plsr_to_rp1,10.00,30.00,6,4.00,4.00,5.00,1,9.65,4,2.50,2.50,0.50,0.10,6.08,10.53,3.31,2.72,11,7,11,153.36,4.00
120.00,180.00,4.00,z_plsr_to_rp1,4.00,5.00,1,2.00,2.00,5.00,1,9.65,5,1.33,1.33,0.08,0.02,7.14,10.98,2.93,3.22,9,9,13,182.53,3.00
180.00,240.00,155.00,z_plsr_to_rp1,155.00,1507.30,139,24.00,24.00,99.83,9,21.65,9,9.69,9.69,24.96,2.28,15.33,5.96,14.59,6.52,11,6,15,384.48,16.00
240.00,300.00,373.00,z_plsr_to_rp1,243.00,1786.76,205,27.00,11.00,99.56,9,29.95,12,7.94,5.17,27.19,2.95,22.17,3.46,23.64,9.18,8,10,17,541.60,38.00
300.00,360.00,192.00,z_plsr_to_rp1,181.00,1594.20,160,17.00,15.00,84.70,8,24.11,10,7.38,6.96,25.74,2.52,19.52,4.67,14.88,8.43,14,15,21,489.26,21.00
360.00,420.00,49.00,z_plsr_to_rp1,49.00,314.79,35,9.00,9.00,43.02,4,19.29,9,3.50,3.50,5.16,0.57,12.65,7.92,7.94,5.32,10,9,16,308.94,14.00
420.00,480.00,128.00,z_plsr_to_rp1,122.00,809.70,104,22.00,22.00,68.13,7,26.87,11,6.40,6.10,13.16,1.67,16.79,6.59,9.68,7.03,15,12,22,406.34,18.00
480.00,540.00,96.00,z_plsr_to_rp1,49.00,310.58,36,15.00,7.00,53.42,5,23.59,10,5.05,2.58,4.93,0.55,7.32,5.61,9.55,3.32,2,12,12,192.30,13.00
540.00,600.00,32.00,z_plsr_to_rp1,32.00,161.52,25,7.00,7.00,22.84,3,12.06,5,4.57,4.57,2.69,0.42,7.20,8.98,8.77,3.10,8,5,8,180.69,7.00
600.00,660.00,12.00,z_plsr_to_rp1,12.00,30.00,6,5.00,5.00,5.00,1,12.06,5,2.00,2.00,0.50,0.10,7.38,9.74,3.69,3.35,12,10,15,189.26,6.00
660.00,720.00,21.00,z_plsr_to_rp1,21.00,87.32,15,7.00,7.00,15.26,2,12.06,5,3.50,3.50,1.46,0.25,8.63,9.51,5.86,3.67,6,9,11,212.44,6.00
720.00,780.00,47.00,z_plsr_to_rp1,45.00,320.56,43,22.00,22.00,15.16,2,6.55,3,15.67,15.00,5.34,0.72,4.22,6.17,9.84,1.83,4,3,6,106.43,2.00
780.00,840.00,230.00,z_plsr_to_rp1,187.00,1329.50,174,39.00,35.00,77.03,8,21.65,9,15.33,12.47,22.08,2.88,13.21,4.70,19.44,5.58,8,2,11,330.52,13.00
840.00,900.00,479.00,z_plsr_to_rp1,335.00,3159.61,308,41.00,21.00,139.77,12,28.88,12,13.30,9.30,51.20,4.88,22.05,3.18,21.19,9.48,11,8,20,559.81,29.00
900.00,960.00,687.00,z_plsr_to_rp1,540.00,5623.63,519,41.00,41.00,154.76,14,33.70,14,20.82,16.36,93.01,8.52,28.15,1.68,32.42,11.83,7,5,19,704.35,21.00
960.00,1020.00,768.00,z_plsr_to_rp1,389.00,3559.08,364,53.00,21.00,154.69,14,36.17,16,19.69,9.97,57.41,5.75,29.32,3.22,24.46,12.55,9,15,23,740.16,25.00
1020.00,1080.00,104.00,z_plsr_to_rp1,102.00,786.67,101,40.00,40.00,45.11,4,19.29,8,10.40,10.20,13.03,1.67,9.06,4.60,14.05,4.05,3,6,11,236.63,9.00
1080.00,1140.00,369.00,z_plsr_to_rp1,275.00,2984.26,267,81.00,44.00,77.03,6,19.23,8,30.75,22.92,49.65,4.43,13.37,1.52,32.82,5.60,4,1,9,334.26,8.00
1140.00,1200.00,527.00,z_plsr_to_rp1,457.00,4938.75,441,52.00,42.00,107.53,10,36.12,15,23.95,20.77,81.24,7.17,22.46,1.58,30.85,9.35,8,1,16,557.54,16.00
1200.00,1260.00,1047.00,z_plsr_to_rp1,926.00,9381.89,911,46.00,37.00,184.95,18,43.35,18,29.08,25.72,150.25,14.37,40.68,0.39,51.89,16.95,4,1,19,1014.49,27.00
1260.00,1320.00,1565.00,z_plsr_to_rp1,1172.00,11576.00,1169,83.00,60.00,207.34,21,50.48,21,74.52,55.81,192.93,19.48,48.01,0.12,56.57,20.03,3,3,21,1199.79,3.00
1320.00,1380.00,1407.00,z_plsr_to_rp1,412.00,3194.99,359,85.00,15.00,113.55,13,43.31,18,21.00,6.15,50.47,5.53,35.45,3.05,26.47,15.08,8,13,26,893.12,53.00
1380.00,1440.00,805.00,z_plsr_to_rp1,799.00,7668.81,758,40.00,40.00,178.24,17,41.00,17,18.30,18.16,124.40,12.13,39.27,1.01,45.27,16.45,7,3,20,980.77,42.00
1440.00,1500.00,1606.00,z_plsr_to_rp1,1047.00,10193.23,1024,65.00,39.00,192.24,19,45.82,19,40.15,26.18,161.81,16.02,44.57,0.25,51.91,18.57,4,2,21,1110.91,23.00
1500.00,1560.00,1205.00,z_plsr_to_rp1,754.00,6097.79,692,35.00,23.00,183.28,18,45.82,19,14.88,9.31,89.92,9.87,42.45,1.41,39.61,17.77,5,6,24,1061.33,62.00
1560.00,1620.00,1108.00,z_plsr_to_rp1,989.00,8671.05,951,46.00,45.00,200.93,22,53.00,22,20.52,18.31,139.35,15.08,46.68,0.70,48.16,19.60,5,7,23,1170.20,38.00
1620.00,1680.00,523.00,z_plsr_to_rp1,478.00,3296.72,390,12.00,12.00,162.71,15,46.77,20,5.39,4.93,47.32,5.32,39.75,2.33,30.20,16.70,11,10,27,988.39,88.00
1680.00,1740.00,797.00,z_plsr_to_rp1,695.00,6103.78,637,29.00,28.00,177.28,17,46.96,21,10.77,9.39,97.95,10.00,40.81,1.61,32.28,17.27,11,8,28,1027.04,58.00
1740.00,1800.00,1193.00,z_plsr_to_rp1,1088.00,9483.34,1028,34.00,34.00,201.23,21,50.06,21,15.91,14.51,129.05,13.45,47.98,0.39,53.12,20.10,2,2,22,1203.34,60.00
1800.00,1860.00,1476.00,z_plsr_to_rp1,1211.00,11590.93,1202,80.00,60.00,207.20,21,50.64,21,49.20,40.37,188.52,19.45,50.00,0.10,53.80,20.83,3,2,23,1247.54,11.00
1860.00,1920.00,2042.00,z_plsr_to_rp1,1290.00,12064.59,1283,140.00,60.00,207.19,22,53.00,22,81.68,51.60,197.60,20.93,52.16,0.03,58.88,21.65,1,0,22,1298.37,7.00
1920.00,1980.00,2918.00,z_plsr_to_rp1,925.00,8214.14,900,177.00,48.00,207.19,22,53.00,22,62.09,19.68,135.59,14.77,46.24,1.08,44.45,19.33,2,8,24,1157.50,25.00
1980.00,2040.00,426.00,z_plsr_to_rp1,367.00,2462.89,290,13.00,12.00,152.31,14,43.41,18,4.90,4.22,36.60,4.08,36.87,3.01,22.72,15.80,16,14,32,932.91,77.00
