interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
0.00,60.00,0.00,z_r2pn_to_rp1_0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
0.00,60.00,0.00,z_r2pn_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
60.00,120.00,65.00,z_r2pn_to_rp1_0,65.00,375.54,60,24.00,24.00,27.35,4,11.16,5,13.00,13.00,6.26,1.00,5.45,7.60,11.91,2.60,7,6,7,149.05,5.00
60.00,120.00,0.00,z_r2pn_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,7.86,1,0.00,0.00,0.00,0.00,0.73,9.04,0.76,0.12,3,3,3,6.31,0.00
120.00,180.00,25.00,z_r2pn_to_rp1_0,25.00,115.46,22,18.00,18.00,16.22,2,6.75,3,8.33,8.33,1.92,0.37,2.82,9.39,4.52,1.35,7,5,8,77.65,3.00
120.00,180.00,0.00,z_r2pn_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,15.71,2,0.00,0.00,0.00,0.00,3.51,10.90,0.74,0.52,6,5,6,26.28,0.00
180.00,240.00,22.00,z_r2pn_to_rp1_0,22.00,117.97,19,11.00,11.00,12.89,2,11.25,5,7.33,7.33,1.97,0.32,6.39,14.10,2.74,2.98,12,10,15,172.61,3.00
180.00,240.00,10.00,z_r2pn_to_rp1_1,10.00,35.00,7,5.00,5.00,5.00,1,23.57,3,3.33,3.33,0.58,0.12,5.80,6.44,3.02,0.87,7,7,8,48.69,3.00
240.00,300.00,88.00,z_r2pn_to_rp1_0,67.00,381.61,61,20.00,17.00,35.03,5,13.50,6,11.00,8.38,6.36,1.02,5.55,6.79,10.70,2.63,4,8,9,152.30,6.00
240.00,300.00,10.00,z_r2pn_to_rp1_1,5.00,15.00,3,7.00,2.00,5.00,1,15.71,2,3.33,1.67,0.25,0.05,4.82,7.09,2.80,0.77,6,6,7,41.12,2.00
300.00,360.00,10.00,z_r2pn_to_rp1_0,8.00,22.96,5,5.00,5.00,5.00,1,6.75,3,2.50,2.00,0.38,0.08,2.66,12.52,3.68,1.27,5,5,6,72.67,3.00
300.00,360.00,0.00,z_r2pn_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,7.86,1,0.00,0.00,0.00,0.00,1.21,9.28,1.12,0.23,2,3,3,11.94,0.00
360.00,420.00,27.00,z_r2pn_to_rp1_0,27.00,108.62,21,11.00,11.00,13.89,2,9.00,5,4.50,4.50,1.81,0.35,4.56,10.97,6.82,2.12,6,3,7,123.66,6.00
360.00,420.00,0.00,z_r2pn_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,13.18,2,0.00,0.00,0.00,0.00,3.57,11.46,1.14,0.57,5,4,5,28.16,0.00
420.00,480.00,20.00,z_r2pn_to_rp1_0,14.00,44.79,9,5.00,5.00,5.00,1,9.00,4,2.86,2.00,0.75,0.15,4.44,11.57,4.00,2.07,6,9,10,120.48,5.00
420.00,480.00,3.00,z_r2pn_to_rp1_1,3.00,4.95,1,2.00,2.00,4.95,1,14.29,2,1.50,1.50,0.08,0.02,4.16,8.56,1.41,0.77,8,8,9,37.68,2.00
480.00,540.00,42.00,z_r2pn_to_rp1_0,42.00,191.77,40,29.00,29.00,4.85,1,4.41,2,21.00,21.00,3.20,0.67,3.21,7.76,12.17,1.52,3,3,4,88.80,2.00
