interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
0.00,60.00,0.00,z_r2ps_to_ach1_mgp,0.00,0.00,0,0.00,0.00,0.00,0,2.66,8,0.00,0.00,0.00,0.00,1.06,19.93,1.00,3.20,8,1,8,192.00,0.00
0.00,60.00,0.00,z_sl_rp1_to_ach1_mgp,0.00,0.00,0,0.00,0.00,0.00,0,3.89,3,0.00,0.00,0.00,0.00,0.56,11.26,0.49,0.43,3,0,3,25.45,0.00
0.00,60.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,1.45,3,0.00,0.00,0.00,0.00,0.67,21.20,0.66,1.40,7,4,7,83.93,0.00
60.00,120.00,17.00,z_r2ps_to_ach1_mgp,17.00,77.43,13,6.00,6.00,12.52,2,5.97,18,4.25,4.25,1.29,0.22,4.22,15.53,3.12,12.93,22,13,29,771.14,4.00
60.00,120.00,13.00,z_sl_rp1_to_ach1_mgp,13.00,50.52,9,6.00,6.00,12.10,2,10.37,9,3.25,3.25,0.84,0.15,7.55,7.94,3.69,5.98,20,15,23,351.92,4.00
60.00,120.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,4.35,9,0.00,0.00,0.00,0.00,2.61,19.22,1.09,5.47,12,8,15,326.06,0.00
120.00,180.00,71.00,z_r2ps_to_ach1_mgp,71.00,374.79,58,10.00,10.00,37.63,5,7.02,22,3.55,3.55,6.25,0.97,5.90,12.20,7.15,18.10,21,18,37,1081.00,22.00
120.00,180.00,53.00,z_sl_rp1_to_ach1_mgp,53.00,227.34,34,6.00,6.00,52.84,3,18.14,15,2.79,2.79,3.66,0.53,13.64,6.82,6.68,10.87,24,23,32,641.96,19.00
120.00,180.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,3.74,8,0.00,0.00,0.00,0.00,2.31,17.16,1.32,4.88,11,11,18,292.17,0.00
180.00,240.00,113.00,z_r2ps_to_ach1_mgp,104.00,451.25,70,8.00,8.00,49.11,5,7.46,22,2.76,2.54,7.33,1.12,5.99,11.05,7.78,18.00,19,20,38,1075.66,40.00
180.00,240.00,75.00,z_sl_rp1_to_ach1_mgp,69.00,300.28,51,9.00,9.00,27.43,4,15.55,13,3.75,3.45,4.90,0.82,12.41,7.16,6.06,9.97,24,23,33,584.33,18.00
180.00,240.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,4.35,9,0.00,0.00,0.00,0.00,2.41,18.40,1.25,5.13,8,14,15,305.22,0.00
240.00,300.00,58.00,z_r2ps_to_ach1_mgp,37.00,231.59,26,9.00,5.00,52.01,5,6.79,20,3.62,2.31,3.69,0.40,5.45,13.40,3.75,16.52,27,28,45,982.56,11.00
240.00,300.00,138.00,z_sl_rp1_to_ach1_mgp,132.00,789.74,120,36.00,36.00,31.71,4,18.68,14,9.86,9.43,13.08,1.98,13.00,6.64,6.36,10.35,28,26,38,604.69,12.00
240.00,300.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,3.38,7,0.00,0.00,0.00,0.00,1.89,19.56,1.22,3.98,12,8,13,237.68,0.00
300.00,360.00,24.00,z_r2ps_to_ach1_mgp,24.00,57.89,13,3.00,3.00,13.30,2,7.99,24,2.00,2.00,0.96,0.22,6.69,14.20,3.66,20.62,32,28,49,1228.12,14.00
