interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
0.00,60.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,1.94,1,0.00,0.00,0.00,0.00,0.07,10.26,0.13,0.10,4,3,4,3.57,0.00
0.00,60.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,3.89,2,0.00,0.00,0.00,0.00,1.30,12.20,1.35,0.67,2,2,2,40.00,0.00
60.00,120.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,7.77,4,0.00,0.00,0.00,0.00,3.56,11.97,0.71,1.97,14,12,15,109.58,0.00
60.00,120.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,7.77,4,0.00,0.00,0.00,0.00,2.94,13.96,1.13,1.57,7,3,7,93.41,0.00
120.00,180.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,8.35,5,0.00,0.00,0.00,0.00,4.93,11.95,0.73,2.78,21,19,24,155.20,0.00
120.00,180.00,3.00,z_rp2_to_rp3_2,3.00,0.00,0,1.00,1.00,0.00,0,9.72,5,1.00,1.00,0.00,0.00,6.95,11.95,2.35,3.77,12,12,16,222.33,3.00
180.00,240.00,25.00,z_rp2_to_rp3_1,25.00,102.60,17,5.00,5.00,14.20,2,11.65,6,3.12,3.12,1.71,0.28,7.76,9.84,3.24,4.25,17,20,22,241.82,8.00
180.00,240.00,26.00,z_rp2_to_rp3_2,26.00,116.92,19,8.00,8.00,20.06,3,11.66,6,3.71,3.71,1.95,0.32,7.24,10.20,4.09,3.95,12,12,16,233.33,7.00
240.00,300.00,2.00,z_rp2_to_rp3_1,2.00,5.00,1,2.00,2.00,5.00,1,7.77,5,2.00,2.00,0.08,0.02,4.67,11.75,0.96,2.65,17,15,19,147.77,1.00
240.00,300.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,7.77,4,0.00,0.00,0.00,0.00,4.98,12.46,1.40,2.77,8,11,12,161.77,0.00
300.00,360.00,1.00,z_rp2_to_rp3_1,1.00,0.00,0,1.00,1.00,0.00,0,10.77,6,1.00,1.00,0.00,0.00,4.82,11.69,1.28,2.78,16,19,20,154.79,1.00
300.00,360.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,9.72,5,0.00,0.00,0.00,0.00,5.25,12.15,1.76,2.72,11,10,12,160.26,0.00
360.00,420.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,9.71,5,0.00,0.00,0.00,0.00,5.45,11.77,1.08,3.08,22,21,23,170.17,0.00
360.00,420.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,11.66,6,0.00,0.00,0.00,0.00,7.60,11.67,2.03,4.13,14,12,16,244.19,0.00
420.00,480.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,13.08,7,0.00,0.00,0.00,0.00,7.53,12.14,1.46,4.13,20,17,22,235.52,0.00
420.00,480.00,1.00,z_rp2_to_rp3_2,1.00,0.00,0,1.00,1.00,0.00,0,11.66,6,1.00,1.00,0.00,0.00,7.11,11.28,2.52,3.95,10,13,14,229.46,1.00
480.00,540.00,2.00,z_rp2_to_rp3_1,2.00,0.00,0,1.00,1.00,0.00,0,9.71,5,1.00,1.00,0.00,0.00,4.71,10.89,1.26,2.68,19,20,24,146.41,2.00
480.00,540.00,2.00,z_rp2_to_rp3_2,2.00,0.00,0,1.00,1.00,0.00,0,9.72,6,1.00,1.00,0.00,0.00,6.66,11.84,2.26,3.63,12,10,13,211.98,2.00
540.00,600.00,1.00,z_rp2_to_rp3_1,1.00,0.00,0,1.00,1.00,0.00,0,9.71,5,1.00,1.00,0.00,0.00,5.36,12.09,0.80,2.95,19,20,23,166.01,1.00
540.00,600.00,4.00,z_rp2_to_rp3_2,4.00,15.00,3,4.00,4.00,5.00,1,10.15,6,4.00,4.00,0.25,0.05,6.92,11.43,1.65,3.83,13,11,16,223.43,1.00
600.00,660.00,1.00,z_rp2_to_rp3_1,1.00,0.00,0,1.00,1.00,0.00,0,13.59,7,1.00,1.00,0.00,0.00,7.94,12.10,1.31,4.42,24,21,27,247.76,1.00
600.00,660.00,1.00,z_rp2_to_rp3_2,1.00,0.00,0,1.00,1.00,0.00,0,9.72,6,1.00,1.00,0.00,0.00,7.24,12.13,1.67,4.05,14,14,19,235.57,1.00
660.00,720.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,10.77,6,0.00,0.00,0.00,0.00,4.78,12.29,0.77,2.68,17,22,23,151.19,0.00
660.00,720.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,9.72,5,0.00,0.00,0.00,0.00,6.71,12.83,1.20,3.75,14,15,19,218.30,0.00
720.00,780.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,7.77,4,0.00,0.00,0.00,0.00,3.72,12.13,0.86,2.13,14,14,15,117.33,0.00
720.00,780.00,14.00,z_rp2_to_rp3_2,14.00,65.20,11,6.00,6.00,20.16,3,11.66,6,4.67,4.67,1.09,0.18,5.93,10.46,3.51,3.30,10,12,14,191.54,3.00
780.00,840.00,1.00,z_rp2_to_rp3_1,1.00,0.00,0,1.00,1.00,0.00,0,7.77,4,1.00,1.00,0.00,0.00,3.98,11.40,1.02,2.23,18,19,19,123.87,1.00
780.00,840.00,2.00,z_rp2_to_rp3_2,2.00,0.00,0,1.00,1.00,0.00,0,11.66,7,1.00,1.00,0.00,0.00,7.72,11.25,2.41,4.22,15,13,17,246.99,2.00
840.00,900.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,5.82,3,0.00,0.00,0.00,0.00,2.90,12.36,0.66,1.57,17,15,17,87.12,0.00
840.00,900.00,3.00,z_rp2_to_rp3_2,3.00,5.00,1,2.00,2.00,5.00,1,9.72,5,1.50,1.50,0.08,0.02,5.56,11.61,1.89,3.17,13,13,17,181.92,2.00
900.00,960.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,9.71,5,0.00,0.00,0.00,0.00,5.24,11.52,1.02,2.93,18,18,20,165.03,0.00
